Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
Programador Full Stack C#,https://www.tecnoempleo.com/programador-full-stack-c-presencial/c-rfid-java-net-visual-studio-angular/rf-216a11bc524663149b4e,1,Barcelona (Presencial),Analista Programador,Jornada completa,3-5 años,Indefinido,33000,45000
DBA Oracle,https://www.tecnoempleo.com/dba-oracle-hibrido/oracle/rf-71031c3f3209132c4f47,0,Madrid (Híbrido),Base de Datos/DBA,Jornada completa,3 años,Indefinido,,
AP o Programador/a Java,https://www.tecnoempleo.com/ap-o-programador-java-hibrido/java-spring-rest-mybatis-sql/rf-3d321c2272cec360604c,4,Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,33000,39000
Ingeniero/a Ciberseguridad OT (SCADA/PLC),https://www.tecnoempleo.com/ingeniero-ciberseguridad-ot-scada-plc-remoto/ciberseguridad-scada-plc/rf-c0301aff02a6c3db5140,0,100% En remoto,Ciberseguridad,Jornada completa,3 años,Indefinido,,
Técnico Informático Helpdesk,https://www.tecnoempleo.com/tecnico-informatico-helpdesk-presencial/helpdesk-kais-sql-server/rf-5aaf18f882387383c249,1,Barcelona (Presencial),Administrador,Jornada completa,3 años,Indefinido,33000,39000
Desarrollador/a Java Springboot API,https://www.tecnoempleo.com/desarrollador-java-springboot-api-remoto/java-sprinboot-microservicios-swa/rf-624f10bf626a634c1440,1,100% En remoto,Programador,Jornada completa,2 años,Indefinido,27000,33000
Analista Funcional Java con Catalán,https://www.tecnoempleo.com/analista-funcional-java-con-catalan-remoto/java-spring-boot-junit/rf-f20e1d09f29d235bc34c,1,100% En remoto,Analista,Jornada completa,3-5 años,Indefinido,30000,42000
Desarrollador/a C++ Inglés B2.,https://www.tecnoempleo.com/desarrollador-c-ingles-b2-hibrido/c-c-jenkins-git/rf-64161ab4a27353ce004d,1,Madrid (Híbrido),Analista Programador,Jornada completa,Más de 5 años,Indefinido,45000,60000
Líder Técnico C++,https://www.tecnoempleo.com/lider-tecnico-c-remoto/c-qml-qt/rf-7f4e16af4206e3316442,1,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Java Developer,https://www.tecnoempleo.com/java-developer-remoto/java-sql/rf-aad918105248d3236445,1,100% En remoto,Desarrollador Móvil,Jornada completa,Más de 5 años,Indefinido,42000,45000
Desarrollador/a Full Stack Power BI,https://www.tecnoempleo.com/desarrollador-full-stack-power-bi-valencia/power-bi-etl-azure-data-factory/rf-dab217c5d2cd131f9947,0,"Valencia											
											 - España",Programador,Jornada completa,3-5 años,Indefinido,39000,45000
Consultor SAP BPC al 50%,https://www.tecnoempleo.com/consultor-sap-bpc-al-50-remoto/sap-sap-bpc/rf-a8081e767272038a164a,0,100% En remoto,Consultor,Jornada completa,3-5 años,Freelance/Autónomo,,
Analista Funcional Java 100% remoto,https://www.tecnoempleo.com/analista-funcional-java-100-remoto-remoto/java-spring-boot-microservicios-/rf-2a2a1c8602fe03df4b4a,0,100% En remoto,Analista,Jornada completa,Más de 5 años,Indefinido,,
Programador/a RPG/AS400,https://www.tecnoempleo.com/programador-rpg-as400-hibrido/ibm-400-rpg-ile-free-sql-db2-pl-sql/rf-1b671927b201c3d42e4d,1,Madrid (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,30000,39000
AP o Programador/a PowerBuilder,https://www.tecnoempleo.com/ap-o-programador-powerbuilder-hibrido/powerbuilder-pl-sql-oracle/rf-ee7d1c1812b0b3a33c43,0,Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,36000,39000
Ingeniero/a de Aplicaciones,https://www.tecnoempleo.com/ingeniero-aplicaciones-pais-vasco/cam/rf-837a16f2e23e23bf234b,0,País Vasco,Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Product Manager,https://www.tecnoempleo.com/product-manager-valencia/ilustrator-photoshop-indesign/rf-5f9a1357c2db23073a4f,0,"Valencia											
											 - España",Diseño gráfico,Jornada completa,Más de 5 años,Indefinido,,
Programador PL/SQL,https://www.tecnoempleo.com/programador-pl-sql-hibrido/pl-sql-oracle-c-c-visual-studio-git/rf-24e31074b26f63796048,1,Barcelona (Híbrido),Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,33000,45000
Programador Microsoft Office 365,https://www.tecnoempleo.com/programador-microsoft-office-365-remoto/microsoft-365-spfx-sharepoint-powe/rf-383d1acba2e9b3c70a46,1,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Project Manager,https://www.tecnoempleo.com/project-manager-barcelona/autocad-office-project-power-point/rf-a7141454027383b30e48,1,"Barcelona											
											 - España",Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,45000,54000
Desarrollador CRM Dynamics 365,https://www.tecnoempleo.com/desarrollador-crm-dynamics-365-hibrido/dynamics-365-crm-net-power-apps-wor/rf-fa0416fe925bb343df41,0,Madrid (Híbrido),Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,42000,60000
Senior Full Stack Developer React/Node,https://www.tecnoempleo.com/senior-full-stack-developer-react-node-cadiz/react-node-javascript-typescr/rf-7727131842acf3cff748,0,"El Puerto De Santa María -  
											
											Cádiz											
España",Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,,
Arquitecto Cloud (Remoto 100%),https://www.tecnoempleo.com/arquitecto-cloud-remoto-100-remoto/cloud-kafka-apache-hbase-phoenix-hive-i/rf-f66f1f68f2b523e53d42,0,100% En remoto,Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,54000,60000
Desarrollador/a Front con React,https://www.tecnoempleo.com/desarrollador-front-con-react-madrid/react-redux-html5-css-javascript-node/rf-79af18e39256e35f0648,2,"Madrid											
											 - España",Programador,Jornada completa,Más de 5 años,Indefinido,42000,54000
Técnico/a Soporte (SAU),https://www.tecnoempleo.com/tecnico-soporte-sau-presencial/soporte-microinformatica/rf-2c9316bda21183086848,0,Barcelona (Presencial),Soporte Técnico,Jornada completa,1 año,Indefinido,15000,16000
Data Scientist  (BECA),https://www.tecnoempleo.com/data-scientist-beca-hibrido/data-science-machine-learning/rf-06e11472a26c93d3f34f,6,Madrid (Híbrido),Big Data,Jornada completa,Sin Experiencia,Prácticas,860,900
Consultor/a SAP,https://www.tecnoempleo.com/consultor-sap-tarragona/sap/rf-9855121922e3d39a3c48,0,"Tarragona											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,33000,42000
Programador Python,https://www.tecnoempleo.com/programador-python-barcelona/python-flask-fastapi/rf-37721601b20b434da549,0,"Barcelona											
											 - España",Programador,Jornada completa,3 años,Indefinido,39000,60000
Marketing Analyst (Datos Team),https://www.tecnoempleo.com/marketing-analyst-datos-team-hibrido/sql-aws-python/rf-99de13d80239d3558747,1,Barcelona (Híbrido),Analista,Jornada completa,3 años,Indefinido,,
Desarrollador - Programador Java,https://www.tecnoempleo.com/desarrollador-programador-java-hibrido/java-spring-css-html-javascript-jqu/rf-7aa31c7bc23e3343c940,0,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
UX Writer (LUX Team),https://www.tecnoempleo.com/ux-writer-lux-team-hibrido/ux-figma-seo/rf-4ab319a5c2a09334fa43,0,Barcelona (Híbrido),Diseño gráfico,Jornada completa,Más de 5 años,Indefinido,,
Project Manager Azure,https://www.tecnoempleo.com/project-manager-azure-hibrido/azure-windows-server-active-directory-o365/rf-722b1fa3b267b389d245,0,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,Más de 10 años,Indefinido,54000,60000
Software Application Engineer,https://www.tecnoempleo.com/software-application-engineer-remoto/python-flask-rest-api/rf-8cab154f822d437ece40,5,100% En remoto,Programador,Jornada completa,3 años,Indefinido,39000,60000
Consultores SAP SD,https://www.tecnoempleo.com/consultores-sap-sd-hibrido/sap-sap-sd-s-4h-sap-s-4h/rf-2c2e1fab3202530e1b4b,5,Barcelona (Híbrido),Consultor,Jornada completa,3-5 años,Freelance/Autónomo,,
Senior .NET Developer,https://www.tecnoempleo.com/senior-net-developer-hibrido/net-qa/rf-884e1d59e26b5347d44d,0,Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,48000,60000
Senior Java Developer (100% remoto),https://www.tecnoempleo.com/senior-java-developer-100-remoto-remoto/java-kafka-hexagonal-apis-mongodb-/rf-c22119a142810390d244,48,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,42000,48000
IT Manager N2,https://www.tecnoempleo.com/it-manager-n2-hibrido/sql-server-iis/rf-c3121bc82204231a304c,6,Barcelona (Híbrido),Helpdesk,Jornada completa,3-5 años,Indefinido,42000,45000
JAVA Spring Boot (Backend) / Angular,https://www.tecnoempleo.com/java-spring-boot-backend-angular-remoto/java-spring-angular/rf-9d401c61821c335f9a42,23,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,,
Calidad del Dato / CDMP / DAMA,https://www.tecnoempleo.com/calidad-del-dato-cdmp-dama-remoto/microsoft-purview-uml-cdmp-dama/rf-f6331a16f204e3ddc14f,1,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Desarrollador/a Java/Swing. HIBRIDO,https://www.tecnoempleo.com/desarrollador-java-swing-hibrido-hibrido/java-swing/rf-c8eb163882b88380f14d,18,Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,36000,42000
Data Analyst con Tableau - 90% remoto,https://www.tecnoempleo.com/data-analyst-con-tableau-90-remoto-hibrido/tableau-excel-acces-sql/rf-f02218339271e3b3f247,22,Barcelona (Híbrido),Analista,Jornada completa,3-5 años,Indefinido,39000,48000
Implant técnico con SQL,https://www.tecnoempleo.com/implant-tecnico-con-sql-remoto/sql/rf-59581941f28b33866543,56,100% En remoto,Analista,Jornada completa,3 años,Indefinido,,
Visual Basic Application [VBA],https://www.tecnoempleo.com/visual-basic-application-vba-remoto/vba-microsoft-office-visual-basic-appl/rf-eec7170bf2635305a543,32,100% En remoto,Desarrollador Web,Jornada completa,3-5 años,Indefinido,,
Técnico N2 (Help Desk),https://www.tecnoempleo.com/tecnico-n2-help-desk-hibrido/sql-server-vmware/rf-68f512bdc2bf23e68b47,15,Barcelona (Híbrido),Helpdesk,Jornada completa,2 años,Indefinido,21000,27000
Programador/a Servicenow,https://www.tecnoempleo.com/programador-servicenow-remoto/servicenow-itsm-itom/rf-6fc81d0a62ffd382424d,37,100% En remoto,Programador,Jornada completa,1 año,Indefinido,,
Programador Java,https://www.tecnoempleo.com/programador-java-madrid/java/rf-758c1bcc82c5d337e940,41,"Madrid											
											 - España",Programador,Jornada completa,2 años,Indefinido,,
Senior Software Engineer .NET,https://www.tecnoempleo.com/senior-software-engineer-net-hibrido/net-vbnet-sql-server/rf-fc281c2ee27ff3592140,13,Madrid (Híbrido),Desarrollador Web,Jornada completa,3 años,Indefinido,,
Analista programador/a Natural Adabas,https://www.tecnoempleo.com/analista-programador-natural-adabas-remoto/natural-adabas/rf-4a081797726f03cd6441,17,100% En remoto,Analista,Jornada completa,3 años,Indefinido,21000,24000
Consultor/a SAP MM S4 HANA ¡Remoto!,https://www.tecnoempleo.com/consultor-sap-mm-s4-hana-remoto-remoto/sap-hana-sap-mm/rf-fe261fc9f21e23e1444b,10,100% En remoto,Consultor,Jornada completa,3-5 años,Indefinido,30000,42000
Consultores-Programadores/as ALFRESCO,https://www.tecnoempleo.com/consultores-programadores-alfresco-remoto/alfresco-java/rf-5c031b77521493ee4b48,7,100% En remoto,Analista Programador,Jornada completa,1 año,Indefinido,,
Desarrollador/a Python,https://www.tecnoempleo.com/desarrollador-python-remoto/python-django-git/rf-330d1c5a222bc3b7ea43,25,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,16000,39000
Administración de sistemas,https://www.tecnoempleo.com/administracion-sistemas-presencial/vmware-nutanix-xenserver-hpc-ad-windows/rf-2bf2110452b903cd6741,10,Barcelona (Presencial),Administrador,Jornada completa,2 años,Indefinido,,
Desarrolladores/as Java Microservicios,https://www.tecnoempleo.com/desarrolladores-java-microservicios-remoto/java-microservicios-spring/rf-8bc8163e32e553258840,22,100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,24000,33000
Cloud Service Manager,https://www.tecnoempleo.com/cloud-service-manager-hibrido/aws-azure-google-cloud/rf-4aac1cb8d2405325a74b,8,Madrid (Híbrido),Administrador,Jornada completa,3-5 años,Indefinido,,
QA tester junior,https://www.tecnoempleo.com/qa-tester-junior-remoto/testing/rf-68dd16ee5205a37ff946,113,100% En remoto,Tester,Jornada completa,1 año,Indefinido,16000,21000
Analista Programador/a en Java,https://www.tecnoempleo.com/analista-programador-en-java-remoto/java-j2ee-sql-server/rf-f27d1b35427c538d034e,25,100% En remoto,Programador,Jornada completa,3 años,Indefinido,,
Scrum Master (Ingles),https://www.tecnoempleo.com/scrum-master-ingles-hibrido/scrum-agile/rf-54091122726a83349f4d,18,Madrid (Híbrido),Jefe de Equipo,Jornada completa,3-5 años,Indefinido,,
Consultor/a SAP SD/MM (Temporal),https://www.tecnoempleo.com/consultor-sap-sd-mm-temporal-madrid/sap-sap-sd-sap-mm-hana/rf-55a01a35a2b863b08845,7,"Madrid											
											 - España",Analista,Jornada completa,3 años,Temporal,,
Senior Engineer Backend Java,https://www.tecnoempleo.com/senior-engineer-backend-java-remoto/java-api-spring/rf-001c1686a22753d6cd48,19,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,,
Diseñador/a Eléctrico,https://www.tecnoempleo.com/disenador-electrico-remoto/ieee-modbus/rf-ca7d10f8b22153590a4e,11,100% En remoto,Ingenieros/Industria,Jornada completa,3-5 años,Indefinido,39000,45000
Data Engineer/Analyst DBT,https://www.tecnoempleo.com/data-engineer-analyst-dbt-hibrido/snowflake-bigquery-redshift-kimball-immo/rf-3b8a1c946220c343b346,9,Madrid (Híbrido),Big Data,Jornada completa,3-5 años,Indefinido,39000,48000
Programaciones Angular,https://www.tecnoempleo.com/programaciones-angular-remoto/angular-react/rf-4a281ee2e29a63d6bd41,63,100% En remoto,Analista,Jornada completa,2 años,Indefinido,,
Technical Lead Java Teletrabajo,https://www.tecnoempleo.com/technical-lead-java-teletrabajo-remoto/java-spring-spring-boot-restful-api/rf-00911abdb236c3a33d4d,6,100% En remoto,Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,,
Technical Lead Backend Java,https://www.tecnoempleo.com/technical-lead-backend-java-remoto/java-spring-api/rf-150b1affb20153150e4b,15,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,,
SEM Specialist/Remoto,https://www.tecnoempleo.com/sem-specialist-remoto-remoto/sem-ppc-search-display-shopping-cpc-cpl-cpa-d/rf-4f421bef92f6a33c2941,896,100% En remoto,Marketing,Jornada completa,3 años,Indefinido,27000,33000
Desarrollador/a Data.- Inglés alto.,https://www.tecnoempleo.com/desarrollador-data-ingles-alto-remoto/sql-java-kafka/rf-a7061024d28f43321346,9,100% En remoto,Big Data,Jornada completa,3-5 años,Indefinido,36000,45000
Desarrollador/a Full-Stack,https://www.tecnoempleo.com/desarrollador-full-stack-hibrido/java-spring-angular/rf-17f01bb1021c53ebdb4b,15,Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,,
Business Analyst IT/APIS/Inglés C1,https://www.tecnoempleo.com/business-analyst-it-apis-ingles-c1-remoto/api-agile/rf-71011be8e25563f2fc4a,10,100% En remoto,Analista,Jornada completa,3-5 años,Indefinido,33000,36000
Administrador/a SQL y postgreSQL,https://www.tecnoempleo.com/administrador-sql-postgresql-hibrido/sql-postgresql/rf-c2a0173862f31331834c,7,Madrid (Híbrido),Base de Datos/DBA,Intensiva Mañana,3-5 años,Indefinido,27000,33000
DBA (Administrador Base de Datos),https://www.tecnoempleo.com/dba-administrador-base-datos-remoto/hana-sybase-postgres-mysql/rf-9ed818cf62fad3557e44,10,100% En remoto,Base de Datos/DBA,Jornada completa,3 años,Indefinido,,
Engineer Github Copilot,https://www.tecnoempleo.com/engineer-github-copilot-remoto/github-copilot-spark-scala-pyspark/rf-159813c22292f315ce44,13,100% En remoto,Programador,Jornada completa,2 años,Indefinido,,
Desarrollador Fullstack,https://www.tecnoempleo.com/desarrollador-fullstack-remoto/angular-typescript-javascript-html/rf-92e919d7c24e63b1a444,51,100% En remoto,Desarrollador Web,Jornada completa,Más de 5 años,Freelance/Autónomo,,
Ingeniero de Datos Cloud Azure,https://www.tecnoempleo.com/ingeniero-datos-cloud-azure-remoto/cloud-azure-etl-data-factory-synapse-da/rf-bd8d1daae237739e5345,23,100% En remoto,Analista,Jornada completa,2 años,Indefinido,30000,36000
Ciberseguridad - Firma Electrónica PKI,https://www.tecnoempleo.com/ciberseguridad-firma-electronica-pki-madrid/ciberseguridad-pki/rf-532e176772dbb39aa542,13,"Madrid											
											 - España",Ciberseguridad,Jornada completa,3-5 años,Indefinido,,
Administrador/a Jira,https://www.tecnoempleo.com/administrador-jira-remoto/jira-confluence-atlassian-xray-cloud/rf-716218ced25d030a654e,12,100% En remoto,Administrador,Jornada completa,3 años,Indefinido,,
Programador Java (Technical Lead),https://www.tecnoempleo.com/programador-java-technical-lead-remoto/java-spring-jpa-docker-kubernetes-j/rf-9b701518224ec36b6545,13,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,33000,39000
Networking Security Specialist /Inglés,https://www.tecnoempleo.com/networking-security-specialist-ingles-hibrido/networking-security/rf-9504142cb2c97337eb43,10,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,Más de 5 años,Indefinido,,
API Support Engineer 100% remoto,https://www.tecnoempleo.com/api-support-engineer-100-remoto-remoto/api-rest-json-postman-grafana-kiban/rf-c6ad1c5142e0a3c53e4b,19,100% En remoto,Técnico Software,Jornada completa,2 años,Indefinido,,
Consultor/a SAP FI con inglés,https://www.tecnoempleo.com/consultor-sap-fi-con-ingles-remoto/sap-sap-fi/rf-f9fa103b6254b380b54d,6,100% En remoto,Consultor,Jornada completa,3-5 años,Indefinido,,
Administrador Sistemas/VMWARE/Storage,https://www.tecnoempleo.com/administrador-sistemas-vmware-storage-remoto/vmware-storage-unix/rf-25521c8ff2a6c38e6843,102,100% En remoto,Técnico de Sistemas,Jornada completa,3-5 años,Indefinido,,
Product Analyst,https://www.tecnoempleo.com/product-analyst-remoto/api-first-api-agile-scrum-ddd-ia-programacion-produ/rf-ad1e1b26a2d543e46c41,16,100% En remoto,Responsable de Producto,Jornada completa,Más de 5 años,Indefinido,,
BackEnd Developers Java (100% Remoto),https://www.tecnoempleo.com/backend-developers-java-100-remoto-remoto/java-scrum-spring-framework-jira/rf-02061e855228e3409847,248,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,39000,48000
Programador/a JAVA/SPRING/Jasper Reports,https://www.tecnoempleo.com/programador-java-spring-jasper-reports-hibrido/java-spring-java-reports/rf-b0f7147f42fb33841b4e,7,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Programador/a senior JAVA,https://www.tecnoempleo.com/programador-senior-java-remoto/java-restful-api-jenkins/rf-8e101dc5b29823cefd44,9,100% En remoto,Desarrollador Web,Jornada completa,3-5 años,Indefinido,,
Analista Programador COBOL/CICS/DB2,https://www.tecnoempleo.com/analista-programador-cobol-cics-db2-remoto/cobol-db2-cics-ims-jcl-batch-me/rf-02231d37429083ca5940,30,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,33000,39000
"Desarrollador/a JAVA, AWS, SERVICIOS WEB",https://www.tecnoempleo.com/desarrollador-java-aws-servicios-web-remoto/java-aws/rf-186212e6229853ff4c46,27,100% En remoto,Programador,Jornada completa,3 años,Indefinido,30000,36000
QA Engineer (Cloud),https://www.tecnoempleo.com/qa-engineer-cloud-remoto/agile-aws-azure-ingles/rf-43231e3082ab73c7414a,12,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,30000,36000
Arquitecto y/o Tech Lead Java,https://www.tecnoempleo.com/arquitecto-y-o-tech-lead-java-hibrido/java-jsf-spring-jpa-jee/rf-69871fdcc20d83fbff4d,2,Pontevedra (Híbrido),Arquitecto TIC,Jornada completa,3-5 años,Indefinido,36000,54000
Desarrollador Apps móviles,https://www.tecnoempleo.com/desarrollador-apps-moviles-remoto/react-react-native-ios-android-java-kotl/rf-6e80196a820a03101c46,1115,100% En remoto,Desarrollador Móvil,Jornada completa,3 años,Indefinido,27000,42000
Analista Programador ABAP / Consultor Técnico,https://www.tecnoempleo.com/analista-programador-abap-consultor-tecnico-remoto/sap-pp-abap-sap-sd-sap-/rf-6c861490429943f52242,60,100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,24000,48000
Ingeniero/a de Sistemas Linux,https://www.tecnoempleo.com/ingeniero-sistemas-linux-hibrido/linux-f5-kubernetes-oracle-mongodb/rf-99ef1338322d83593547,9,Madrid (Híbrido),Base de Datos/DBA,Jornada completa,3-5 años,Indefinido,42000,54000
Desarrollador/a Senior ANGULAR,https://www.tecnoempleo.com/desarrollador-senior-angular-presencial/angular-python-node/rf-416f1729821283f71644,1,A Coruña (Presencial),Analista Programador,Jornada completa,3 años,Indefinido,24000,45000
Java Developer (FircoSoft),https://www.tecnoempleo.com/java-developer-fircosoft-remoto/java-fircosoft-was-tomcat/rf-c1ac1573a2e7538c4547,10,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
SAP-FI Consultant [with German],https://www.tecnoempleo.com/sap-fi-consultant-with-german-remoto/sap-sap-fi/rf-89a21ee7f2a203d4684f,3,100% En remoto,Consultor,Jornada completa,3 años,Indefinido,27000,48000
Site Reliability Engineer (SRE),https://www.tecnoempleo.com/site-reliability-engineer-sre-remoto/linux-debian-ubuntu-almalinux-proxmox/rf-b7751cf2b20f43de254f,34,100% En remoto,DevOps,Jornada completa,3-5 años,Indefinido,,
Consultor SAP WM,https://www.tecnoempleo.com/consultor-sap-wm-hibrido/sap-sap-wm-sap-ewm-sap-le-sap-lo/rf-ac051a2a9253e38faa40,0,Barcelona (Híbrido),Consultor,Jornada completa,3-5 años,Freelance/Autónomo,,
Administradores BBDD SQL Server,https://www.tecnoempleo.com/administradores-bbdd-sql-server-presencial/sql-server/rf-91ae1e62f2f86380d946,12,Madrid (Presencial),Administrador,Jornada completa,2 años,Indefinido,,
Programadores Analistas Mainframe Cobol,https://www.tecnoempleo.com/programadores-analistas-mainframe-cobol-remoto/mainframe-cobol-cics-db2-jc/rf-8cc8110f727853024f48,52,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,30000,42000
1 Programador iOS - 1 Programador Android,https://www.tecnoempleo.com/1-programador-ios-1-programador-android-remoto/android-ios-swift-kotlin/rf-da2e143932ed0339ba45,179,100% En remoto,Desarrollador Móvil,Jornada completa,3 años,Indefinido,33000,42000
Analista Programador Java - Spring Boot,https://www.tecnoempleo.com/analista-programador-java-spring-boot-remoto/java-springboot-maven-jenkins/rf-247f15a1729873682f45,98,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,33000,36000
Operador/a SERVICEDESK N2,https://www.tecnoempleo.com/operador-servicedesk-n2-presencial/windows-ticketing-sccm-ad/rf-17521e47b2abf38cd24a,50,Barcelona (Presencial),Helpdesk,Jornada completa,1 año,A determinar,,
Key Account Manager - Infraestructura IT,https://www.tecnoempleo.com/key-account-manager-infraestructura-it-hibrido/cpd-data-center-switching-r/rf-b2c31886028a03048f4d,12,Barcelona (Híbrido),Comercial,Jornada completa,3 años,Indefinido,36000,48000
Desarrollador Java Fullstack,https://www.tecnoempleo.com/desarrollador-java-fullstack-remoto/java-angular-spring-javascript-jira-gi/rf-b7181479b289a3047b43,298,100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,30000,36000
Ingeniero/a de preventa - Comunicaciones,https://www.tecnoempleo.com/ingeniero-preventa-comunicaciones-hibrido/cisco-aruba-networks-palo-alt-fo/rf-12911fd7721c93815448,9,Barcelona (Híbrido),Comercial,Jornada completa,3 años,Indefinido,36000,48000
